ID,Direction,Time,HealthStatus
232,north,5,80
233,east,7,80
217,north,6,75
201,north,5,80
202,east,9,100
186,north,6,85
170,north,8,100
154,north,9,85
155,east,5,95
139,north,6,90
156,southeast,7,80
140,north,7,75
139,west,6,90
154,southwest,7,90
171,southeast,9,90
186,southwest,8,75
202,south,7,100
186,north,9,90
202,south,7,75
186,north,5,75
187,east,6,75
171,north,7,100
170,west,8,95
185,southwest,5,85
202,southeast,9,90
186,north,6,80
202,south,7,80
217,southwest,9,75
218,east,5,95
202,north,7,95
201,west,8,75
200,west,9,90
216,south,7,80
200,north,9,80
215,southwest,7,85
199,north,6,85
183,north,9,75
182,west,7,85
166,north,5,75
167,east,9,80
151,north,5,85
150,west,7,95
134,north,7,80
119,northeast,5,75
103,north,9,100
87,north,8,100
72,northeast,5,75
56,north,6,85
41,northeast,7,100
58,southeast,7,100
