ID,Direction,Time,HealthStatus
248,southeast,8,85
233,northeast,7,95
250,southeast,5,85
235,northeast,6,95
236,east,5,90
251,southwest,6,80
251,southwest,9,90
236,northeast,5,75
220,north,6,100
221,east,5,85
204,northwest,9,80
188,north,8,75
171,northwest,7,75
188,southeast,7,75
204,south,7,80
205,east,6,75
221,south,9,90
237,south,8,75
220,northwest,7,75
219,west,8,85
204,northeast,6,80
205,east,9,80
188,northwest,8,85
203,southwest,9,95
187,north,6,80
172,northeast,7,80
157,northeast,8,85
174,southeast,9,95
159,northeast,5,90
176,southeast,5,75
176,east,9,80
160,north,7,85
160,east,6,90
160,east,6,100
176,south,8,90
192,south,8,100
176,north,6,95
192,south,6,75
192,southeast,5,75
208,south,9,100
223,southwest,6,90
222,west,5,80
221,west,6,75
204,northwest,9,80
221,southeast,7,85
206,northeast,5,100
221,southwest,8,90
236,southwest,5,80
251,southwest,5,95
236,northeast,6,90
