ID,Direction,Time,HealthStatus
249,east,8,95
233,north,9,100
217,north,8,85
233,south,6,80
217,north,6,95
233,south,9,90
232,west,5,90
233,east,5,85
218,northeast,6,100
202,north,7,75
218,south,6,100
201,northwest,7,80
217,south,9,100
233,south,6,95
234,east,5,90
218,north,7,85
202,north,8,90
186,north,5,90
170,north,7,95
171,east,8,80
156,northeast,9,90
171,southwest,7,100
154,northwest,6,95
169,southwest,5,90
186,southeast,5,100
169,northwest,5,80
154,northeast,9,85
169,southwest,6,80
152,northwest,5,95
168,south,5,95
183,southwest,8,85
167,north,7,90
151,north,8,90
135,north,5,100
150,southwest,7,85
134,north,6,100
135,east,9,80
119,north,9,100
136,southeast,7,95
153,southeast,7,80
137,north,9,80
121,north,6,90
105,north,5,85
104,west,5,75
105,east,8,75
121,south,7,85
105,north,7,90
89,north,7,95
106,southeast,7,90
90,north,8,100
