ID,Direction,Time,HealthStatus
119,west,8,95
136,southeast,7,95
137,east,8,75
121,north,6,95
138,southeast,8,95
123,northeast,8,95
138,southwest,9,90
139,east,7,85
154,southwest,8,90
153,west,8,95
136,northwest,9,90
119,northwest,6,75
102,northwest,6,85
101,west,5,75
100,west,6,100
99,west,9,95
115,south,6,95
131,south,8,85
114,northwest,9,100
99,northeast,5,85
114,southwest,5,95
130,south,6,85
113,northwest,5,100
113,west,7,80
113,west,6,90
97,north,6,100
113,south,8,85
129,south,6,90
130,east,7,80
114,north,8,85
98,north,9,100
97,west,9,75
82,northeast,6,80
98,south,6,75
82,north,9,85
83,east,5,100
84,east,8,80
67,northwest,8,90
68,east,8,90
84,south,8,75
67,northwest,5,90
52,northeast,9,80
67,southwest,8,90
66,west,6,80
65,west,5,85
65,west,9,100
65,southwest,8,80
49,north,6,80
32,northwest,7,75
16,north,5,90
17,east,6,85
17,southwest,6,90
1,north,9,100
1,west,9,80
1,southwest,7,95
1,north,8,90
1,northeast,6,100
2,east,6,100
3,east,8,85
19,south,7,90
4,northeast,6,100
20,south,8,90
36,south,6,85
21,northeast,5,95
22,east,7,90
6,north,6,90
22,south,9,75
39,southeast,6,80
56,southeast,9,85
71,southwest,9,95
86,southwest,9,75
102,south,5,95
86,north,7,95
85,west,9,75
86,east,7,85
70,north,6,85
71,east,8,85
70,west,8,95
71,east,9,75
56,northeast,8,80
55,west,9,95
56,east,6,100
55,west,8,90
40,northeast,9,75
25,northeast,5,80
24,west,9,75
40,south,7,100
23,northwest,9,100
22,west,7,100
7,northeast,5,75
8,east,8,75
23,southwest,5,100
7,north,7,75
23,south,5,75
6,northwest,8,95
6,north,5,85
6,northeast,5,95
6,northeast,9,100
23,southeast,8,85
22,west,6,90
38,south,7,90
37,west,6,95
53,south,7,75
68,southwest,6,75
67,west,8,80
68,east,7,85
67,west,7,95
68,east,7,85
83,southwest,8,100
67,north,7,80
52,northeast,6,85
37,northeast,5,100
38,east,7,95
54,south,7,75
53,west,6,90
38,northeast,8,100
54,south,6,90
37,northwest,6,85
38,east,6,85
21,northwest,8,85
36,southwest,8,100
53,southeast,6,75
69,south,9,85
85,south,8,85
70,northeast,6,80
86,south,7,80
87,east,7,95
71,north,7,100
88,southeast,5,90
104,south,8,85
87,northwest,5,75
72,northeast,5,90
71,west,7,100
70,west,5,95
53,northwest,8,80
54,east,5,85
53,west,9,90
69,south,9,75
70,east,8,90
53,northwest,6,95
37,north,8,100
36,west,9,90
35,west,9,95
18,northwest,8,90
2,north,9,80
2,north,9,75
18,south,8,80
1,northwest,5,90
1,northeast,9,100
18,southeast,8,95
19,east,5,75
34,southwest,9,80
50,south,7,100
33,northwest,5,85
49,south,6,90
34,northeast,6,80
49,southwest,8,75
49,southwest,9,95
65,south,8,95
65,southwest,6,80
66,east,5,100
81,southwest,8,100
64,northwest,5,75
49,northeast,8,80
49,west,7,75
34,northeast,6,75
33,west,8,85
33,west,7,75
33,west,9,80
50,southeast,9,95
49,west,6,90
50,east,5,90
34,north,8,95
50,south,7,75
34,north,6,80
33,west,8,90
49,south,6,90
50,east,6,85
34,north,9,85
18,north,6,80
34,south,8,95
35,east,9,100
19,north,5,100
20,east,7,90
19,west,7,75
18,west,6,100
2,north,8,75
19,southeast,9,90
20,east,5,100
4,north,7,80
5,east,8,100
5,northeast,6,90
4,west,5,95
21,southeast,5,75
37,south,9,85
54,southeast,6,80
39,northeast,9,80
40,east,7,75
41,east,5,95
58,southeast,5,100
